DATE,ADDRESS,NAME,TYPE,CLASS,LAT,LNG,ACC
Wed Nov 20 16:09:14 EST 2024,5D:45:28:5B:A1:6C,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:C7:D7:F9:F7:8E,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:5E:62:5F,*MOB85-11749899,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:56:D9:AC,*MOB85-11668404,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:57:6C:0E,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,7D:93:51:08:63:25,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:57:D8:AF,*MOB85-11682612,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:56:DC:25,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:58:27:DB,*MOB85-11701738,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4A:86:BD:4E:DD:18,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,64:46:7B:81:E5:E3,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:58:29:86,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,5C:A8:A9:43:63:55,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:57:E0:7D,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:58:30:56,*MOB85-11703909,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,5C:78:E2:A7:92:8F,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:58:2B:55,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,6C:17:74:71:C1:E9,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,65:62:DF:12:21:78,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,75:A6:59:AE:72:5A,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:58:41:65,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,52:E5:0D:71:FB:EE,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,6B:06:02:82:BF:DF,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,5C:9D:97:40:E1:27,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,4C:91:57:57:2E:BE,null,1,520,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,54:4B:D4:B8:07:1A,null,3,7936,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:09:14 EST 2024,79:E5:22:77:1D:C5,null,3,7936,33.46552166666667,-82.08079166666667,1.9
